scenario_seed,uncertainty_level,planner,total_time_s,flight_distance_m,max_blackout_s,meets_90s_budget,mission_feasible,planning_runtime_ms,route
601,0.0,distance_only,1409.077,2074.101,194.417,0,1,0.03,N05 -> N11 -> N06 -> N12 -> N01 -> N07 -> N04 -> N03 -> N08 -> N14 -> N02 -> N13 -> N09 -> N10
601,0.0,protocol_aware,919.782,2601.669,72.433,1,1,303.876,N13 -> N14 -> N03 -> N08 -> N07 -> N01 -> N04 -> N02 -> N06 -> N10 -> N09 -> N12 -> N11 -> N05
601,0.0,bounded_blackout,919.782,2601.669,72.433,1,1,1940.642,N13 -> N14 -> N03 -> N08 -> N07 -> N01 -> N04 -> N02 -> N06 -> N10 -> N09 -> N12 -> N11 -> N05
601,0.02,distance_only,1406.784,2074.101,189.831,0,1,0.03,N05 -> N11 -> N06 -> N12 -> N01 -> N07 -> N04 -> N03 -> N08 -> N14 -> N02 -> N13 -> N09 -> N10
601,0.02,protocol_aware,1399.748,2601.669,180.415,0,1,303.876,N13 -> N14 -> N03 -> N08 -> N07 -> N01 -> N04 -> N02 -> N06 -> N10 -> N09 -> N12 -> N11 -> N05
601,0.02,bounded_blackout,1399.748,2601.669,180.415,0,1,1940.642,N13 -> N14 -> N03 -> N08 -> N07 -> N01 -> N04 -> N02 -> N06 -> N10 -> N09 -> N12 -> N11 -> N05
601,0.05,distance_only,1122.543,2074.101,128.395,0,1,0.03,N05 -> N11 -> N06 -> N12 -> N01 -> N07 -> N04 -> N03 -> N08 -> N14 -> N02 -> N13 -> N09 -> N10
601,0.05,protocol_aware,1519.696,2601.669,190.928,0,0,303.876,N13 -> N14 -> N03 -> N08 -> N07 -> N01 -> N04 -> N02 -> N06 -> N10 -> N09 -> N12 -> N11 -> N05
601,0.05,bounded_blackout,1519.696,2601.669,190.928,0,0,1940.642,N13 -> N14 -> N03 -> N08 -> N07 -> N01 -> N04 -> N02 -> N06 -> N10 -> N09 -> N12 -> N11 -> N05
601,0.1,distance_only,1205.774,2074.101,145.093,0,1,0.03,N05 -> N11 -> N06 -> N12 -> N01 -> N07 -> N04 -> N03 -> N08 -> N14 -> N02 -> N13 -> N09 -> N10
601,0.1,protocol_aware,1519.605,2601.669,218.35,0,0,303.876,N13 -> N14 -> N03 -> N08 -> N07 -> N01 -> N04 -> N02 -> N06 -> N10 -> N09 -> N12 -> N11 -> N05
601,0.1,bounded_blackout,1519.605,2601.669,218.35,0,0,1940.642,N13 -> N14 -> N03 -> N08 -> N07 -> N01 -> N04 -> N02 -> N06 -> N10 -> N09 -> N12 -> N11 -> N05
602,0.0,distance_only,1845.999,2526.824,220.801,0,0,0.022,N06 -> N12 -> N07 -> N03 -> N11 -> N10 -> N02 -> N09 -> N04 -> N13 -> N05 -> N01 -> N14 -> N08
602,0.0,protocol_aware,1358.961,2950.537,84.029,1,1,479.04,N02 -> N01 -> N14 -> N05 -> N06 -> N10 -> N13 -> N09 -> N04 -> N07 -> N11 -> N03 -> N12 -> N08
602,0.0,bounded_blackout,1358.961,2950.537,84.029,1,1,2271.429,N02 -> N01 -> N14 -> N05 -> N06 -> N10 -> N13 -> N09 -> N04 -> N07 -> N11 -> N03 -> N12 -> N08
602,0.02,distance_only,1845.054,2526.824,216.747,0,0,0.022,N06 -> N12 -> N07 -> N03 -> N11 -> N10 -> N02 -> N09 -> N04 -> N13 -> N05 -> N01 -> N14 -> N08
602,0.02,protocol_aware,1358.015,2950.537,80.519,1,1,479.04,N02 -> N01 -> N14 -> N05 -> N06 -> N10 -> N13 -> N09 -> N04 -> N07 -> N11 -> N03 -> N12 -> N08
602,0.02,bounded_blackout,1358.015,2950.537,80.519,1,1,2271.429,N02 -> N01 -> N14 -> N05 -> N06 -> N10 -> N13 -> N09 -> N04 -> N07 -> N11 -> N03 -> N12 -> N08
602,0.05,distance_only,1843.633,2526.824,210.633,0,0,0.022,N06 -> N12 -> N07 -> N03 -> N11 -> N10 -> N02 -> N09 -> N04 -> N13 -> N05 -> N01 -> N14 -> N08
602,0.05,protocol_aware,1356.594,2950.537,75.254,1,1,479.04,N02 -> N01 -> N14 -> N05 -> N06 -> N10 -> N13 -> N09 -> N04 -> N07 -> N11 -> N03 -> N12 -> N08
602,0.05,bounded_blackout,1356.594,2950.537,75.254,1,1,2271.429,N02 -> N01 -> N14 -> N05 -> N06 -> N10 -> N13 -> N09 -> N04 -> N07 -> N11 -> N03 -> N12 -> N08
602,0.1,distance_only,1841.259,2526.824,200.356,0,0,0.022,N06 -> N12 -> N07 -> N03 -> N11 -> N10 -> N02 -> N09 -> N04 -> N13 -> N05 -> N01 -> N14 -> N08
602,0.1,protocol_aware,1354.221,2950.537,67.755,1,1,479.04,N02 -> N01 -> N14 -> N05 -> N06 -> N10 -> N13 -> N09 -> N04 -> N07 -> N11 -> N03 -> N12 -> N08
602,0.1,bounded_blackout,1354.221,2950.537,67.755,1,1,2271.429,N02 -> N01 -> N14 -> N05 -> N06 -> N10 -> N13 -> N09 -> N04 -> N07 -> N11 -> N03 -> N12 -> N08
603,0.0,distance_only,1569.366,2599.485,176.02,0,0,0.022,N05 -> N14 -> N01 -> N02 -> N06 -> N11 -> N04 -> N03 -> N10 -> N09 -> N08 -> N12 -> N07 -> N13
603,0.0,protocol_aware,1140.054,3617.69,103.214,0,1,286.219,N14 -> N03 -> N09 -> N10 -> N02 -> N04 -> N13 -> N01 -> N11 -> N07 -> N08 -> N12 -> N06 -> N05
603,0.0,bounded_blackout,1252.113,3330.752,62.28,1,1,2003.672,N04 -> N06 -> N11 -> N03 -> N14 -> N13 -> N12 -> N07 -> N01 -> N09 -> N10 -> N08 -> N05 -> N02
603,0.02,distance_only,1570.579,2599.485,177.464,0,0,0.022,N05 -> N14 -> N01 -> N02 -> N06 -> N11 -> N04 -> N03 -> N10 -> N09 -> N08 -> N12 -> N07 -> N13
603,0.02,protocol_aware,1138.649,3617.69,105.359,0,1,286.219,N14 -> N03 -> N09 -> N10 -> N02 -> N04 -> N13 -> N01 -> N11 -> N07 -> N08 -> N12 -> N06 -> N05
603,0.02,bounded_blackout,1493.97,3330.752,215.522,0,1,2003.672,N04 -> N06 -> N11 -> N03 -> N14 -> N13 -> N12 -> N07 -> N01 -> N09 -> N10 -> N08 -> N05 -> N02
603,0.05,distance_only,1788.399,2599.485,226.42,0,0,0.022,N05 -> N14 -> N01 -> N02 -> N06 -> N11 -> N04 -> N03 -> N10 -> N09 -> N08 -> N12 -> N07 -> N13
603,0.05,protocol_aware,1208.541,3617.69,108.581,0,1,286.219,N14 -> N03 -> N09 -> N10 -> N02 -> N04 -> N13 -> N01 -> N11 -> N07 -> N08 -> N12 -> N06 -> N05
603,0.05,bounded_blackout,1496.757,3330.752,220.66,0,1,2003.672,N04 -> N06 -> N11 -> N03 -> N14 -> N13 -> N12 -> N07 -> N01 -> N09 -> N10 -> N08 -> N05 -> N02
603,0.1,distance_only,1791.438,2599.485,207.239,0,0,0.022,N05 -> N14 -> N01 -> N02 -> N06 -> N11 -> N04 -> N03 -> N10 -> N09 -> N08 -> N12 -> N07 -> N13
603,0.1,protocol_aware,1205.025,3617.69,113.961,0,1,286.219,N14 -> N03 -> N09 -> N10 -> N02 -> N04 -> N13 -> N01 -> N11 -> N07 -> N08 -> N12 -> N06 -> N05
603,0.1,bounded_blackout,1501.405,3330.752,229.228,0,0,2003.672,N04 -> N06 -> N11 -> N03 -> N14 -> N13 -> N12 -> N07 -> N01 -> N09 -> N10 -> N08 -> N05 -> N02
604,0.0,distance_only,1588.692,3174.317,107.087,0,0,0.021,N11 -> N01 -> N09 -> N05 -> N06 -> N03 -> N08 -> N02 -> N13 -> N12 -> N07 -> N14 -> N10 -> N04
604,0.0,protocol_aware,1168.767,3314.006,72.528,1,1,253.046,N04 -> N07 -> N05 -> N09 -> N10 -> N06 -> N08 -> N02 -> N03 -> N13 -> N11 -> N01 -> N12 -> N14
604,0.0,bounded_blackout,1168.767,3314.006,72.528,1,1,1687.34,N04 -> N07 -> N05 -> N09 -> N10 -> N06 -> N08 -> N02 -> N03 -> N13 -> N11 -> N01 -> N12 -> N14
604,0.02,distance_only,1589.319,3174.317,113.8,0,0,0.021,N11 -> N01 -> N09 -> N05 -> N06 -> N03 -> N08 -> N02 -> N13 -> N12 -> N07 -> N14 -> N10 -> N04
604,0.02,protocol_aware,1168.261,3314.006,73.283,1,1,253.046,N04 -> N07 -> N05 -> N09 -> N10 -> N06 -> N08 -> N02 -> N03 -> N13 -> N11 -> N01 -> N12 -> N14
604,0.02,bounded_blackout,1168.261,3314.006,73.283,1,1,1687.34,N04 -> N07 -> N05 -> N09 -> N10 -> N06 -> N08 -> N02 -> N03 -> N13 -> N11 -> N01 -> N12 -> N14
604,0.05,distance_only,1590.264,3174.317,121.911,0,0,0.021,N11 -> N01 -> N09 -> N05 -> N06 -> N03 -> N08 -> N02 -> N13 -> N12 -> N07 -> N14 -> N10 -> N04
604,0.05,protocol_aware,1455.557,3314.006,170.914,0,1,253.046,N04 -> N07 -> N05 -> N09 -> N10 -> N06 -> N08 -> N02 -> N03 -> N13 -> N11 -> N01 -> N12 -> N14
604,0.05,bounded_blackout,1455.557,3314.006,170.914,0,1,1687.34,N04 -> N07 -> N05 -> N09 -> N10 -> N06 -> N08 -> N02 -> N03 -> N13 -> N11 -> N01 -> N12 -> N14
604,0.1,distance_only,1591.85,3174.317,171.016,0,0,0.021,N11 -> N01 -> N09 -> N05 -> N06 -> N03 -> N08 -> N02 -> N13 -> N12 -> N07 -> N14 -> N10 -> N04
604,0.1,protocol_aware,1454.542,3314.006,180.805,0,1,253.046,N04 -> N07 -> N05 -> N09 -> N10 -> N06 -> N08 -> N02 -> N03 -> N13 -> N11 -> N01 -> N12 -> N14
604,0.1,bounded_blackout,1454.542,3314.006,180.805,0,1,1687.34,N04 -> N07 -> N05 -> N09 -> N10 -> N06 -> N08 -> N02 -> N03 -> N13 -> N11 -> N01 -> N12 -> N14
605,0.0,distance_only,1490.216,2403.744,222.048,0,1,0.022,N05 -> N12 -> N09 -> N03 -> N02 -> N07 -> N14 -> N11 -> N04 -> N01 -> N06 -> N10 -> N13 -> N08
605,0.0,protocol_aware,928.587,2719.17,82.242,1,1,340.035,N09 -> N04 -> N11 -> N14 -> N06 -> N10 -> N01 -> N13 -> N08 -> N02 -> N07 -> N03 -> N05 -> N12
605,0.0,bounded_blackout,928.587,2719.17,82.242,1,1,2060.434,N09 -> N04 -> N11 -> N14 -> N06 -> N10 -> N01 -> N13 -> N08 -> N02 -> N07 -> N03 -> N05 -> N12
605,0.02,distance_only,1490.993,2403.744,219.916,0,1,0.022,N05 -> N12 -> N09 -> N03 -> N02 -> N07 -> N14 -> N11 -> N04 -> N01 -> N06 -> N10 -> N13 -> N08
605,0.02,protocol_aware,926.372,2719.17,85.414,1,1,340.035,N09 -> N04 -> N11 -> N14 -> N06 -> N10 -> N01 -> N13 -> N08 -> N02 -> N07 -> N03 -> N05 -> N12
605,0.02,bounded_blackout,926.372,2719.17,85.414,1,1,2060.434,N09 -> N04 -> N11 -> N14 -> N06 -> N10 -> N01 -> N13 -> N08 -> N02 -> N07 -> N03 -> N05 -> N12
605,0.05,distance_only,1492.158,2403.744,216.716,0,1,0.022,N05 -> N12 -> N09 -> N03 -> N02 -> N07 -> N14 -> N11 -> N04 -> N01 -> N06 -> N10 -> N13 -> N08
605,0.05,protocol_aware,923.123,2719.17,90.154,0,1,340.035,N09 -> N04 -> N11 -> N14 -> N06 -> N10 -> N01 -> N13 -> N08 -> N02 -> N07 -> N03 -> N05 -> N12
605,0.05,bounded_blackout,923.123,2719.17,90.154,0,1,2060.434,N09 -> N04 -> N11 -> N14 -> N06 -> N10 -> N01 -> N13 -> N08 -> N02 -> N07 -> N03 -> N05 -> N12
605,0.1,distance_only,1494.099,2403.744,211.379,0,1,0.022,N05 -> N12 -> N09 -> N03 -> N02 -> N07 -> N14 -> N11 -> N04 -> N01 -> N06 -> N10 -> N13 -> N08
605,0.1,protocol_aware,917.893,2719.17,92.949,0,1,340.035,N09 -> N04 -> N11 -> N14 -> N06 -> N10 -> N01 -> N13 -> N08 -> N02 -> N07 -> N03 -> N05 -> N12
605,0.1,bounded_blackout,917.893,2719.17,92.949,0,1,2060.434,N09 -> N04 -> N11 -> N14 -> N06 -> N10 -> N01 -> N13 -> N08 -> N02 -> N07 -> N03 -> N05 -> N12
606,0.0,distance_only,1633.281,2319.934,225.047,0,0,0.028,N09 -> N06 -> N04 -> N02 -> N05 -> N13 -> N07 -> N08 -> N11 -> N10 -> N12 -> N01 -> N03 -> N14
606,0.0,protocol_aware,1034.744,3170.885,70.564,1,1,229.143,N13 -> N07 -> N02 -> N12 -> N14 -> N10 -> N11 -> N03 -> N01 -> N05 -> N06 -> N04 -> N08 -> N09
606,0.0,bounded_blackout,1034.744,3170.885,70.564,1,1,1563.963,N13 -> N07 -> N02 -> N12 -> N14 -> N10 -> N11 -> N03 -> N01 -> N05 -> N06 -> N04 -> N08 -> N09
606,0.02,distance_only,2109.923,2319.934,229.071,0,0,0.028,N09 -> N06 -> N04 -> N02 -> N05 -> N13 -> N07 -> N08 -> N11 -> N10 -> N12 -> N01 -> N03 -> N14
606,0.02,protocol_aware,1273.244,3170.885,223.984,0,1,229.143,N13 -> N07 -> N02 -> N12 -> N14 -> N10 -> N11 -> N03 -> N01 -> N05 -> N06 -> N04 -> N08 -> N09
606,0.02,bounded_blackout,1273.244,3170.885,223.984,0,1,1563.963,N13 -> N07 -> N02 -> N12 -> N14 -> N10 -> N11 -> N03 -> N01 -> N05 -> N06 -> N04 -> N08 -> N09
606,0.05,distance_only,1625.119,2319.934,221.259,0,0,0.028,N09 -> N06 -> N04 -> N02 -> N05 -> N13 -> N07 -> N08 -> N11 -> N10 -> N12 -> N01 -> N03 -> N14
606,0.05,protocol_aware,1273.082,3170.885,214.697,0,1,229.143,N13 -> N07 -> N02 -> N12 -> N14 -> N10 -> N11 -> N03 -> N01 -> N05 -> N06 -> N04 -> N08 -> N09
606,0.05,bounded_blackout,1273.082,3170.885,214.697,0,1,1563.963,N13 -> N07 -> N02 -> N12 -> N14 -> N10 -> N11 -> N03 -> N01 -> N05 -> N06 -> N04 -> N08 -> N09
606,0.1,distance_only,1617.684,2319.934,225.703,0,0,0.028,N09 -> N06 -> N04 -> N02 -> N05 -> N13 -> N07 -> N08 -> N11 -> N10 -> N12 -> N01 -> N03 -> N14
606,0.1,protocol_aware,1273.306,3170.885,198.845,0,1,229.143,N13 -> N07 -> N02 -> N12 -> N14 -> N10 -> N11 -> N03 -> N01 -> N05 -> N06 -> N04 -> N08 -> N09
606,0.1,bounded_blackout,1273.306,3170.885,198.845,0,1,1563.963,N13 -> N07 -> N02 -> N12 -> N14 -> N10 -> N11 -> N03 -> N01 -> N05 -> N06 -> N04 -> N08 -> N09
607,0.0,distance_only,1562.716,3533.345,182.435,0,0,0.022,N11 -> N09 -> N14 -> N13 -> N06 -> N07 -> N03 -> N08 -> N12 -> N05 -> N04 -> N10 -> N02 -> N01
607,0.0,protocol_aware,1165.364,3746.563,106.042,0,1,237.871,N03 -> N12 -> N02 -> N13 -> N04 -> N06 -> N07 -> N08 -> N05 -> N10 -> N09 -> N01 -> N14 -> N11
607,0.0,bounded_blackout,1043.942,3238.154,59.057,1,1,1546.288,N10 -> N14 -> N01 -> N05 -> N12 -> N11 -> N03 -> N02 -> N08 -> N09 -> N13 -> N06 -> N07 -> N04
607,0.02,distance_only,1559.961,3533.345,181.058,0,0,0.022,N11 -> N09 -> N14 -> N13 -> N06 -> N07 -> N03 -> N08 -> N12 -> N05 -> N04 -> N10 -> N02 -> N01
607,0.02,protocol_aware,1164.548,3746.563,104.113,0,1,237.871,N03 -> N12 -> N02 -> N13 -> N04 -> N06 -> N07 -> N08 -> N05 -> N10 -> N09 -> N01 -> N14 -> N11
607,0.02,bounded_blackout,1761.714,3238.154,257.633,0,0,1546.288,N10 -> N14 -> N01 -> N05 -> N12 -> N11 -> N03 -> N02 -> N08 -> N09 -> N13 -> N06 -> N07 -> N04
607,0.05,distance_only,1556.603,3533.345,178.991,0,0,0.022,N11 -> N09 -> N14 -> N13 -> N06 -> N07 -> N03 -> N08 -> N12 -> N05 -> N04 -> N10 -> N02 -> N01
607,0.05,protocol_aware,1163.325,3746.563,101.171,0,1,237.871,N03 -> N12 -> N02 -> N13 -> N04 -> N06 -> N07 -> N08 -> N05 -> N10 -> N09 -> N01 -> N14 -> N11
607,0.05,bounded_blackout,1518.375,3238.154,252.809,0,0,1546.288,N10 -> N14 -> N01 -> N05 -> N12 -> N11 -> N03 -> N02 -> N08 -> N09 -> N13 -> N06 -> N07 -> N04
607,0.1,distance_only,1547.399,3533.345,192.921,0,0,0.022,N11 -> N09 -> N14 -> N13 -> N06 -> N07 -> N03 -> N08 -> N12 -> N05 -> N04 -> N10 -> N02 -> N01
607,0.1,protocol_aware,1164.381,3746.563,96.128,0,1,237.871,N03 -> N12 -> N02 -> N13 -> N04 -> N06 -> N07 -> N08 -> N05 -> N10 -> N09 -> N01 -> N14 -> N11
607,0.1,bounded_blackout,1512.819,3238.154,244.838,0,0,1546.288,N10 -> N14 -> N01 -> N05 -> N12 -> N11 -> N03 -> N02 -> N08 -> N09 -> N13 -> N06 -> N07 -> N04
608,0.0,distance_only,2141.19,2503.341,224.331,0,0,0.022,N06 -> N03 -> N05 -> N07 -> N10 -> N01 -> N04 -> N12 -> N08 -> N13 -> N11 -> N09 -> N02 -> N14
608,0.0,protocol_aware,1419.378,3643.21,60.577,1,1,395.146,N01 -> N06 -> N05 -> N12 -> N14 -> N11 -> N13 -> N07 -> N08 -> N09 -> N04 -> N02 -> N10 -> N03
608,0.0,bounded_blackout,1419.378,3643.21,60.577,1,1,2054.254,N01 -> N06 -> N05 -> N12 -> N14 -> N11 -> N13 -> N07 -> N08 -> N09 -> N04 -> N02 -> N10 -> N03
608,0.02,distance_only,2143.174,2503.341,221.312,0,0,0.022,N06 -> N03 -> N05 -> N07 -> N10 -> N01 -> N04 -> N12 -> N08 -> N13 -> N11 -> N09 -> N02 -> N14
608,0.02,protocol_aware,1421.227,3643.21,61.487,1,1,395.146,N01 -> N06 -> N05 -> N12 -> N14 -> N11 -> N13 -> N07 -> N08 -> N09 -> N04 -> N02 -> N10 -> N03
608,0.02,bounded_blackout,1421.227,3643.21,61.487,1,1,2054.254,N01 -> N06 -> N05 -> N12 -> N14 -> N11 -> N13 -> N07 -> N08 -> N09 -> N04 -> N02 -> N10 -> N03
608,0.05,distance_only,1786.15,2503.341,176.855,0,0,0.022,N06 -> N03 -> N05 -> N07 -> N10 -> N01 -> N04 -> N12 -> N08 -> N13 -> N11 -> N09 -> N02 -> N14
608,0.05,protocol_aware,1424.0,3643.21,62.629,1,1,395.146,N01 -> N06 -> N05 -> N12 -> N14 -> N11 -> N13 -> N07 -> N08 -> N09 -> N04 -> N02 -> N10 -> N03
608,0.05,bounded_blackout,1424.0,3643.21,62.629,1,1,2054.254,N01 -> N06 -> N05 -> N12 -> N14 -> N11 -> N13 -> N07 -> N08 -> N09 -> N04 -> N02 -> N10 -> N03
608,0.1,distance_only,1551.115,2503.341,80.705,1,0,0.022,N06 -> N03 -> N05 -> N07 -> N10 -> N01 -> N04 -> N12 -> N08 -> N13 -> N11 -> N09 -> N02 -> N14
608,0.1,protocol_aware,1788.622,3643.21,228.037,0,0,395.146,N01 -> N06 -> N05 -> N12 -> N14 -> N11 -> N13 -> N07 -> N08 -> N09 -> N04 -> N02 -> N10 -> N03
608,0.1,bounded_blackout,1788.622,3643.21,228.037,0,0,2054.254,N01 -> N06 -> N05 -> N12 -> N14 -> N11 -> N13 -> N07 -> N08 -> N09 -> N04 -> N02 -> N10 -> N03
609,0.0,distance_only,887.209,2934.49,101.362,0,1,0.022,N06 -> N09 -> N01 -> N13 -> N10 -> N11 -> N07 -> N12 -> N14 -> N08 -> N04 -> N02 -> N05 -> N03
609,0.0,protocol_aware,782.87,3593.725,75.341,1,1,389.008,N06 -> N09 -> N01 -> N10 -> N11 -> N13 -> N14 -> N03 -> N12 -> N07 -> N04 -> N08 -> N02 -> N05
609,0.0,bounded_blackout,782.87,3593.725,75.341,1,1,2264.563,N06 -> N09 -> N01 -> N10 -> N11 -> N13 -> N14 -> N03 -> N12 -> N07 -> N04 -> N08 -> N02 -> N05
609,0.02,distance_only,888.322,2934.49,100.854,0,1,0.022,N06 -> N09 -> N01 -> N13 -> N10 -> N11 -> N07 -> N12 -> N14 -> N08 -> N04 -> N02 -> N05 -> N03
609,0.02,protocol_aware,784.282,3593.725,75.341,1,1,389.008,N06 -> N09 -> N01 -> N10 -> N11 -> N13 -> N14 -> N03 -> N12 -> N07 -> N04 -> N08 -> N02 -> N05
609,0.02,bounded_blackout,784.282,3593.725,75.341,1,1,2264.563,N06 -> N09 -> N01 -> N10 -> N11 -> N13 -> N14 -> N03 -> N12 -> N07 -> N04 -> N08 -> N02 -> N05
609,0.05,distance_only,890.006,2934.49,100.093,0,1,0.022,N06 -> N09 -> N01 -> N13 -> N10 -> N11 -> N07 -> N12 -> N14 -> N08 -> N04 -> N02 -> N05 -> N03
609,0.05,protocol_aware,786.4,3593.725,75.341,1,1,389.008,N06 -> N09 -> N01 -> N10 -> N11 -> N13 -> N14 -> N03 -> N12 -> N07 -> N04 -> N08 -> N02 -> N05
609,0.05,bounded_blackout,786.4,3593.725,75.341,1,1,2264.563,N06 -> N09 -> N01 -> N10 -> N11 -> N13 -> N14 -> N03 -> N12 -> N07 -> N04 -> N08 -> N02 -> N05
609,0.1,distance_only,892.86,2934.49,98.828,0,1,0.022,N06 -> N09 -> N01 -> N13 -> N10 -> N11 -> N07 -> N12 -> N14 -> N08 -> N04 -> N02 -> N05 -> N03
609,0.1,protocol_aware,1005.926,3593.725,221.664,0,1,389.008,N06 -> N09 -> N01 -> N10 -> N11 -> N13 -> N14 -> N03 -> N12 -> N07 -> N04 -> N08 -> N02 -> N05
609,0.1,bounded_blackout,1005.926,3593.725,221.664,0,1,2264.563,N06 -> N09 -> N01 -> N10 -> N11 -> N13 -> N14 -> N03 -> N12 -> N07 -> N04 -> N08 -> N02 -> N05
610,0.0,distance_only,1472.439,2482.867,200.996,0,1,0.021,N09 -> N04 -> N03 -> N11 -> N14 -> N08 -> N06 -> N10 -> N12 -> N07 -> N05 -> N13 -> N01 -> N02
610,0.0,protocol_aware,1057.393,2923.228,87.779,1,1,373.09,N06 -> N03 -> N08 -> N05 -> N10 -> N07 -> N01 -> N02 -> N13 -> N14 -> N11 -> N12 -> N04 -> N09
610,0.0,bounded_blackout,1057.393,2923.228,87.779,1,1,2102.718,N06 -> N03 -> N08 -> N05 -> N10 -> N07 -> N01 -> N02 -> N13 -> N14 -> N11 -> N12 -> N04 -> N09
610,0.02,distance_only,1474.323,2482.867,196.816,0,1,0.021,N09 -> N04 -> N03 -> N11 -> N14 -> N08 -> N06 -> N10 -> N12 -> N07 -> N05 -> N13 -> N01 -> N02
610,0.02,protocol_aware,1057.433,2923.228,82.041,1,1,373.09,N06 -> N03 -> N08 -> N05 -> N10 -> N07 -> N01 -> N02 -> N13 -> N14 -> N11 -> N12 -> N04 -> N09
610,0.02,bounded_blackout,1057.433,2923.228,82.041,1,1,2102.718,N06 -> N03 -> N08 -> N05 -> N10 -> N07 -> N01 -> N02 -> N13 -> N14 -> N11 -> N12 -> N04 -> N09
610,0.05,distance_only,1477.277,2482.867,190.543,0,1,0.021,N09 -> N04 -> N03 -> N11 -> N14 -> N08 -> N06 -> N10 -> N12 -> N07 -> N05 -> N13 -> N01 -> N02
610,0.05,protocol_aware,1057.493,2923.228,73.431,1,1,373.09,N06 -> N03 -> N08 -> N05 -> N10 -> N07 -> N01 -> N02 -> N13 -> N14 -> N11 -> N12 -> N04 -> N09
610,0.05,bounded_blackout,1057.493,2923.228,73.431,1,1,2102.718,N06 -> N03 -> N08 -> N05 -> N10 -> N07 -> N01 -> N02 -> N13 -> N14 -> N11 -> N12 -> N04 -> N09
610,0.1,distance_only,1482.522,2482.867,194.788,0,1,0.021,N09 -> N04 -> N03 -> N11 -> N14 -> N08 -> N06 -> N10 -> N12 -> N07 -> N05 -> N13 -> N01 -> N02
610,0.1,protocol_aware,1057.596,2923.228,74.899,1,1,373.09,N06 -> N03 -> N08 -> N05 -> N10 -> N07 -> N01 -> N02 -> N13 -> N14 -> N11 -> N12 -> N04 -> N09
